# ID            zspec   qz    identified_line  other_names               RA                   Dec                  Flux_deb_scuba2      Fluxerr_deb_scuba2      Flux_errhi_deb_scuba2   RMS                   BMAJ                 BMIN                 SNR_peak             Flux_alma_870um      Flux_final_errlo      Fluxerr_alma_870um      
AS2COS0065.1    2.4140  1.5   "CO32"           AzTECC36                  149.66785939716831   2.0874053727566397   9.79934208004262     1.5205390773876193      1.3386383168007718      0.19051448699381363   0.8078359365464399   0.78202533721932     56.31279903858439    12.621792283637022   0.2974422300223845    0.3121545536717199    
AS2COS0066.1    3.2492  1.5   "CO43"           ""                        149.9440955662296    1.9541833193998273   9.687927786250679    1.624257388413671       1.3211374224003496      0.18298561757886025   0.80405652523032     0.79843068122868     58.65647155398201    13.314008830688687   0.30788792511928875   0.32281834489977435   
AS2COS0090.1    3.3137  1.5   "CO43"           ""                        150.51175224454144   1.7479405312599543   10.184341491182066   1.7924190975714822      1.5693987202027984      0.19307520762728853   0.81033992767332     0.7818998694418801   48.73879528664753    13.250466138895861   0.3633725169906405    0.38445883550540005   
AS2COS0139.1    2.2194  1.5   "CO32"           ""                        149.58246847973447   2.602796129335318    8.808470462881242    1.7402331772791904      1.541246699589605       0.20114963006902567   0.8036106228827999   0.79254710674272     53.55297353446291    12.786555057904284   0.3068686052504261    0.3223405102881631    
# 
# The 4-th to the last columns are from Simpson et al. 2020, MNRAS, 495, 3409, supplementary data,
# with 'RA_final' 'Dec_final' 'OTHERNAMES' columns renamed to 'RA' 'Dec' 'other_names' and re-ordered.
# Also renamed 'Flux_deb_scuba2' 'Flux_errlo_deb_scuba2' to 'Flux_deb_scuba2' and 'Fluxerr_deb_scuba2', 
# and 'Flux_final' and 'Flux_final_errhi' to 'Flux_alma_870um' and 'Fluxerr_alma_870um'.
# Also 'SNR(peak)' to 'SNR_peak'.
# 
# I added qz to indicate the quality/reliability of zspec. 
# A CO+CII line will be qz of 3. Two CO or CI lines in the 3mm will be qz of 2. One CO line will be qz of 1.5.
# 
