# ID              RA_HMS           DEC_DMS         z            MAG_R   MAGERR_R     G_minus_R  e_G_minus_R  U_minus_G  e_U_minus_G  R_minus_K  e_R_minus_K  MAG_IRAC1  MAGERR_IRAC1  MAG_IRAC2  MAGERR_IRAC2  MAG_IRAC3  MAGERR_IRAC3  MAG_IRAC4  MAGERR_IRAC4
Q1700-BX759       17:00:59.545     64:12:55.455    2.418        24.43       0.14        0.36       0.07        1.29       0.18        3.24       0.23        21.81       0.31         22.39       0.29         99.99      99.99         99.99      99.99
Q1700-BX561       17:01:04.180     64:10:43.834    2.426        24.65       0.16        0.19       0.08        1.04       0.16        4.63       0.11        21.54       0.10         21.35       0.10         21.19       0.10         20.85       0.10
Q1700-BX575       17:01:03.341     64:10:50.932    2.431        23.82       0.12        0.16       0.04        0.74       0.06        2.60       0.26        23.10       0.12         23.00       0.10         23.03       0.41         99.99      99.99
Q1700-BX717       17:00:56.995     64:12:23.763    2.438        24.78       0.16        0.34       0.09        0.47       0.13        2.73       0.54        99.99      99.99         23.89       0.24         99.99      99.99         99.99      99.99
Q1700-BX826       17:01:17.163     64:13:41.960    2.438        24.45       0.14        0.02       0.06        0.52       0.09        2.94       0.28        22.65       0.25         22.55       0.10         99.99      99.99         99.99      99.99
Q1700-BX523       17:00:41.712     64:10:14.884    2.471        24.51       0.16        0.46       0.11        1.28       0.18        3.52       0.25        22.74       0.20         22.68       0.15         99.99      99.99         22.07       0.35
Q1700-BX553       17:01:02.200     64:10:39.390    2.474        24.49       0.14        0.14       0.06        0.44       0.11        2.77       0.41        23.13       0.13         23.18       0.19         99.99      99.99         99.99      99.99
Q1700-MD72        17:00:42.777     64:10:05.346    2.533        24.63       0.16        0.45       0.11        1.51       0.00        3.42       0.25        22.44       0.15         22.30       0.20         99.99      99.99         99.99      99.99
Q1700-BX568       17:01:28.789     64:10:46.682    2.537        23.93       0.12        0.38       0.06        0.94       0.09        3.20       0.15        22.75       0.10         22.81       0.10         22.82       0.23         22.87       0.25
Q1700-BX588       17:01:01.469     64:11:00.301    2.539        24.67       0.16        0.53       0.11        1.17       0.19        3.22       0.31        24.22       0.29         99.99      99.99         99.99      99.99         22.97       0.29
Q1700-BX609       17:01:9.988      64:11:15.663    2.573        24.12       0.14        0.56       0.09        1.33       0.18        3.06       0.27        23.10       0.12         22.94       0.13         23.58       0.46         23.16       0.38
Q1700-MD154       17:01:38.387     64:14:57.372    2.629        23.23       0.11        0.73       0.04        1.91       0.22        3.55       0.09        21.50       0.27         99.99      99.99         99.99      99.99         99.99      99.99
Q1700-BX591       17:00:50.179     64:11:01.162    2.686        24.68       0.16        0.22       0.09        1.06       0.16        2.93       0.54        23.48       0.14         23.91       0.23         99.99      99.99         99.99      99.99
Q1700-MD128       17:00:30.292     64:13:15.165    2.713        23.41       0.11        0.29       0.04        1.24       0.08        2.21       0.28        99.99      99.99         23.67       0.16         99.99      99.99         99.99      99.99
Q1700-MD98        17:01:04.387     64:11:49.543    2.738        24.54       0.16        0.70       0.10        1.82       0.46        2.94       0.54        22.62       0.10         22.94       0.22         99.99      99.99         99.99      99.99
Q1700-BX928       17:01:19.623     64:14:25.911    2.755        23.77       0.12        0.66       0.07        1.54       0.19        2.95       0.22        99.99      99.99         22.99       0.21         99.99      99.99         99.99      99.99
Q1700-MD152       17:00:31.085     64:14:54.048    2.791        23.43       0.11        0.86       0.05        1.92       0.29        2.92       0.15        99.99      99.99         21.62       0.10         99.99      99.99         21.65       0.11
Q1700-BX529       17:00:44.618     64:10:19.001    2.875        24.27       0.14        0.25       0.06        0.28       0.06        2.74       0.41        23.35       0.25         99.99      99.99         99.99      99.99         99.99      99.99
Q1700-MD155       17:00:47.888     64:15:05.446    2.875        24.03       0.14        0.56       0.09        1.83       0.43        2.32       0.51        99.99      99.99         23.31       0.14         99.99      99.99         99.99      99.99
Q1700-MD126       17:00:51.610     64:13:05.346    2.898        23.94       0.12        0.67       0.04        2.01       0.46        2.32       0.42        99.99      99.99         22.82       0.15         99.99      99.99         99.99      99.99
