#            ID                RA              DEC         z          FLUX_U       FLUXERR_U          FLUX_G       FLUXERR_G          FLUX_R       FLUXERR_R          FLUX_J       FLUXERR_J         FLUX_Ks      FLUXERR_Ks   
    Q1700-BX917    255.3171250000    +64.238833333    2.3069    1.976970e-07    5.929663e-09    4.742420e-07    3.507761e-08    6.137620e-07    4.753681e-08    2.492482e-06    6.755571e-08    6.383543e-06    1.399883e-07   
    Q1700-MD103    255.2508750000    +64.198772222    2.3148    1.224616e-07    5.929663e-09    4.830588e-07    3.507761e-08    7.379042e-07    4.753681e-08    2.683070e-06    6.755571e-08    6.935245e-06    1.399883e-07   
    Q1700-MD109    255.2686666667    +64.202580556    2.2942    4.965923e-08    5.929663e-09    1.870682e-07    3.507761e-08    2.376840e-07    4.753681e-08    6.034372e-07    6.755571e-08    1.285470e-06    1.399883e-07   
    Q1700-MD154    255.4099583333    +64.249269444    2.6291    1.629296e-07    5.929663e-09    9.462372e-07    3.507761e-08    1.853532e-06    4.753681e-08    3.052334e-06    6.755571e-08    8.811742e-06    1.399883e-07   
    Q1700-MD174    255.2272500000    +64.273544444    2.3423    1.018591e-07    5.929663e-09    4.055085e-07    3.507761e-08    5.445027e-07    4.753681e-08             nan             nan    7.195513e-06    1.399883e-07   
     Q1700-MD69    255.1984166667    +64.162438889    2.2883    7.447320e-08    5.929663e-09    2.964831e-07    3.507761e-08    4.168694e-07    4.753681e-08    1.344721e-06    6.755571e-08    6.267030e-06    1.399883e-07   
     Q1700-MD94    255.1750833333    +64.190061111    2.3362    2.964831e-08    5.929663e-09    1.976970e-07    3.507761e-08    4.698941e-07    4.753681e-08    2.211221e-06    6.755571e-08    9.058614e-06    1.399883e-07   
    Q2343-BM133    356.5674166667    +12.802586111    1.4774    2.805434e-06    5.929663e-09    3.341950e-06    3.507761e-08    3.341950e-06    4.753681e-08    5.304349e-06    6.755571e-08    4.140586e-06    1.399883e-07   
    Q2343-BM181    356.6126250000    +12.822125000    1.4951    3.076097e-07    5.929663e-09    4.017908e-07    3.507761e-08    4.487454e-07    4.753681e-08             nan             nan             nan             nan   
    Q2343-BX163    356.5199166667    +12.760494444    2.1213    4.487454e-07    5.929663e-09    8.629785e-07    3.507761e-08    8.550667e-07    4.753681e-08    1.772687e-06    6.755571e-08    1.841034e-06    1.399883e-07   
    Q2343-BX169    356.5209583333    +12.761325000    2.2094    8.953648e-07    5.929663e-09    1.737801e-06    3.507761e-08    2.070141e-06    4.753681e-08    2.941928e-06    6.755571e-08    3.288984e-06    1.399883e-07   
    Q2343-BX182    356.5751666667    +12.764197222    2.2879    6.081350e-07    5.929663e-09    1.018591e-06    3.507761e-08    1.158777e-06    4.753681e-08    1.515766e-06    6.755571e-08    1.503356e-06    1.399883e-07   
    Q2343-BX236    356.5779583333    +12.771102778    2.4348    3.221069e-07    5.929663e-09    6.194411e-07    3.507761e-08    7.046931e-07    4.753681e-08    1.118490e-06    6.755571e-08    2.075209e-06    1.399883e-07   
    Q2343-BX336    356.6230416667    +12.784655556    2.5439    2.376840e-07    5.929663e-09    6.854882e-07    3.507761e-08    9.908319e-07    4.753681e-08    1.474457e-06    6.755571e-08    3.140955e-06    1.399883e-07   
    Q2343-BX341    356.5968333333    +12.785547222    2.5749    2.333458e-07    5.929663e-09    5.296634e-07    3.507761e-08    7.516229e-07    4.753681e-08    6.318763e-07    6.755571e-08    1.807431e-06    1.399883e-07   
    Q2343-BX378    356.6412500000    +12.790611111    2.0441    2.070141e-07    5.929663e-09    3.435579e-07    3.507761e-08    4.365158e-07    4.753681e-08    8.102743e-07    6.755571e-08    1.140412e-06    1.399883e-07   
    Q2343-BX389    356.6204166667    +12.792652778    2.1716    1.009253e-07    5.929663e-09    3.221069e-07    3.507761e-08    4.168694e-07    4.753681e-08    1.048654e-06    6.755571e-08    5.559833e-06    1.399883e-07   
    Q2343-BX390    356.6030000000    +12.792722222    2.2313    2.535129e-07    5.929663e-09    5.248075e-07    3.507761e-08    6.546362e-07    4.753681e-08    9.563835e-07    6.755571e-08    2.000146e-06    1.399883e-07   
    Q2343-BX391    356.6169583333    +12.792172222    2.1740    1.786488e-07    5.929663e-09    4.528976e-07    3.507761e-08    5.701643e-07    4.753681e-08    7.527176e-07    6.755571e-08    1.109333e-06    1.399883e-07   
    Q2343-BX418    356.5773750000    +12.796494444    2.3052    6.854882e-07    5.929663e-09    9.638290e-07    3.507761e-08    9.204496e-07    4.753681e-08    5.402964e-07    6.755571e-08    1.161614e-06    1.399883e-07   
    Q2343-BX429    356.6052083333    +12.797555556    2.1751    1.127197e-07    5.929663e-09    2.466039e-07    3.507761e-08    3.250873e-07    4.753681e-08    4.452788e-07    6.755571e-08    1.161614e-06    1.399883e-07   
    Q2343-BX435    356.6098333333    +12.798627778    2.1119    2.013724e-07    5.929663e-09    5.199960e-07    3.507761e-08    7.379042e-07    4.753681e-08    2.170861e-06    6.755571e-08    4.624468e-06    1.399883e-07   
    Q2343-BX436    356.5377500000    +12.798888889    2.3277    1.247384e-06    5.929663e-09    1.923092e-06    3.507761e-08    2.147830e-06    4.753681e-08    3.024350e-06    6.755571e-08    2.518035e-06    1.399883e-07   
    Q2343-BX442    356.5806666667    +12.799913889    2.1760    1.419058e-07    5.929663e-09    4.055085e-07    3.507761e-08    5.861382e-07    4.753681e-08    2.016657e-06    6.755571e-08    7.534627e-06    1.399883e-07   
    Q2343-BX461    356.6373333333    +12.802263889    2.5662    1.836538e-07    5.929663e-09    4.207266e-07    3.507761e-08    6.309573e-07    4.753681e-08    5.304349e-07    6.755571e-08    1.409489e-06    1.399883e-07   
    Q2343-BX474    356.6370000000    +12.803911111    2.2257    1.614359e-07    5.929663e-09    4.655861e-07    3.507761e-08    6.194411e-07    4.753681e-08    1.873407e-06    6.755571e-08    3.917976e-06    1.399883e-07   
    Q2343-BX480    356.5912500000    +12.804336111    2.2313    3.341950e-07    5.929663e-09    8.629785e-07    3.507761e-08    1.127197e-06    4.753681e-08    1.756435e-06    6.755571e-08    4.375843e-06    1.399883e-07   
    Q2343-BX493    356.5602500000    +12.806011111    2.3396    4.830588e-07    5.929663e-09    9.908319e-07    3.507761e-08    1.282331e-06    4.753681e-08    1.692903e-06    6.755571e-08    1.435694e-06    1.399883e-07   
    Q2343-BX513    356.5463750000    +12.808927778    2.1092    5.546257e-07    5.929663e-09    8.090959e-07    3.507761e-08    9.727472e-07    4.753681e-08    2.515545e-06    6.755571e-08    5.984967e-06    1.399883e-07   
    Q2343-BX529    356.5405000000    +12.811202778    2.1129    2.228435e-07    5.929663e-09    5.152286e-07    3.507761e-08    6.194411e-07    4.753681e-08    1.039040e-06    6.755571e-08    1.790861e-06    1.399883e-07   
    Q2343-BX537    356.6064583333    +12.812372222    2.3396    2.535129e-07    5.929663e-09    4.920395e-07    3.507761e-08    6.081350e-07    4.753681e-08    9.049656e-07    6.755571e-08    1.758174e-06    1.399883e-07   
    Q2343-BX587    356.6215833333    +12.817594444    2.2430    3.944573e-07    5.929663e-09    1.106624e-06    3.507761e-08    1.485936e-06    4.753681e-08    2.586021e-06    6.755571e-08    5.875729e-06    1.399883e-07   
    Q2343-BX599    356.5577083333    +12.819808333    2.0116    6.251727e-07    5.929663e-09    1.318257e-06    3.507761e-08    1.445440e-06    4.753681e-08    3.569703e-06    6.755571e-08    4.540062e-06    1.399883e-07   
    Q2343-BX601    356.5850000000    +12.820252778    2.3769    6.025596e-07    5.929663e-09    1.202264e-06    3.507761e-08    1.472313e-06    4.753681e-08    2.336857e-06    6.755571e-08    3.954229e-06    1.399883e-07   
    Q2343-BX610    356.5392916667    +12.822002778    2.2094    4.920395e-07    5.929663e-09    9.817479e-07    3.507761e-08    1.342765e-06    4.753681e-08    4.060991e-06    6.755571e-08    1.358507e-05    1.399883e-07   
    Q2343-BX660    356.6226250000    +12.829316667    2.1735    4.698941e-07    5.929663e-09    7.112135e-07    3.507761e-08    6.546362e-07    4.753681e-08    7.809659e-07    6.755571e-08    2.661104e-06    1.399883e-07   
     Q2343-MD59    356.6120833333    +12.794408333    2.0116    7.870458e-08    5.929663e-09    3.047895e-07    3.507761e-08    3.664376e-07    4.753681e-08    1.249200e-06    6.755571e-08    5.768485e-06    1.399883e-07   
     Q2343-MD62    356.6134583333    +12.795411111    2.1752    7.379042e-08    5.929663e-09    2.290868e-07    3.507761e-08    2.779713e-07    4.753681e-08    5.207533e-07    6.755571e-08    1.726083e-06    1.399883e-07   
     Q2343-MD80    356.5449583333    +12.809233333    2.0138    1.169499e-07    5.929663e-09    3.981072e-07    3.507761e-08    4.325138e-07    4.753681e-08    1.501869e-06    6.755571e-08    1.841034e-06    1.399883e-07   
    Q2346-BX120    357.1095833333     +0.342544444    2.2664    1.432188e-07    5.929663e-09    3.311311e-07    3.507761e-08    3.372873e-07    4.753681e-08             nan             nan             nan             nan   
    Q2346-BX220    357.1920833333     +0.372486111    1.9677    4.528976e-07    5.929663e-09    1.037528e-06    3.507761e-08    1.355189e-06    4.753681e-08             nan             nan    3.083627e-06    1.399883e-07   
    Q2346-BX244    357.0400416667     +0.376716667    1.6465    1.306171e-07    5.929663e-09    3.801894e-07    3.507761e-08    5.546257e-07    4.753681e-08             nan             nan             nan             nan   
    Q2346-BX404    357.0891666667     +0.411963889    2.0282    9.289664e-07    5.929663e-09    1.355189e-06    3.507761e-08    1.599558e-06    4.753681e-08             nan             nan    6.267030e-06    1.399883e-07   
    Q2346-BX405    357.0884166667     +0.412627778    2.0300    8.790225e-07    5.929663e-09    1.527566e-06    3.507761e-08    1.644372e-06    4.753681e-08             nan             nan    5.117546e-06    1.399883e-07   
    Q2346-BX416    357.0758750000     +0.415361111    2.2404    5.058247e-07    5.929663e-09    1.009253e-06    3.507761e-08    1.458814e-06    4.753681e-08             nan             nan    4.978079e-06    1.399883e-07   
    Q2346-BX482    357.0540416667     +0.429538889    2.2569    6.081350e-07    5.929663e-09    1.393157e-06    3.507761e-08    1.706082e-06    4.753681e-08             nan             nan             nan             nan   
    SSA22a-MD41    334.4165416667     +0.286400000    2.1713    4.325138e-07    5.929663e-09    1.445440e-06    3.507761e-08    1.721869e-06    4.753681e-08             nan             nan             nan             nan   
 Westphal-BM115    214.4065416667    +52.451505556    1.6065    8.709636e-07    5.929663e-09    1.213389e-06    3.507761e-08    1.570363e-06    4.753681e-08             nan             nan             nan             nan   
 Westphal-BX600    214.3147916667    +52.604344444    2.1607    5.754399e-07    5.929663e-09    8.790225e-07    3.507761e-08    9.638290e-07    4.753681e-08             nan             nan             nan             nan   
