# ID           RA_HMS       DEC_DMS      RA            DEC          z     MAG_R MAGERR_R G_minus_R e_G_minus_R U_minus_G e_U_minus_G R_minus_K e_R_minus_K MAG_IRAC1 MAGERR_IRAC1 MAG_IRAC2 MAGERR_IRAC2 MAG_IRAC3 MAGERR_IRAC3 MAG_IRAC4 MAGERR_IRAC4 logMstar_CSFH e_logMstar_CSFH EBV_CSFH SFR_CSFH Age_CSFH logMstar_tSFH e_logMstar_tSFH EBV_tSFH SFR_tSFH Age_tSFH tau_tSFH MAG_G     MAGERR_G            MAG_U     MAGERR_U            MAG_Ks    MAGERR_Ks           FLUX_R                FLUXERR_R             FLUX_G                FLUXERR_G             FLUX_U                FLUXERR_U             FLUX_Ks               FLUXERR_Ks            FLUX_IRAC1            FLUXERR_IRAC1         FLUX_IRAC2            FLUXERR_IRAC2         FLUX_IRAC3            FLUXERR_IRAC3         FLUX_IRAC4            FLUXERR_IRAC4        
  Q1700-BX592  17:01:02.703 64:11:03.422 255.261262500 +64.18428389 2.099 24.87 0.16     0.38      0.09        1.11      0.19        3.01      0.36        23.35     0.11         23.43     0.12         99.99     99.99        99.99     99.99        9.3           0.22            0.37     199      10       9.82          0.24            0.12     2        102      20       25.25     0.1599999964237213  26.36     0.1899999976158142  21.86     0.36000001430511475 4.092850799751763E-7  6.029982627284594E-8  2.8842058202838686E-7 4.249290247980618E-8  1.0375905430130211E-7 1.8153057154573238E-8 6.546753736772559E-6  2.170194695110667E-6  1.6596866333662493E-6 1.6810822162158112E-7 1.5417932033259571E-6 1.7036388606234182E-7 ""                    ""                    ""                    ""                   
  Q1700-BX535  17:01:07.597 64:10:26.403 255.281654167 +64.17400083 2.113 25.16 0.16     0.57      0.12        1.55      0.37        3.45      0.37        23.04     0.14         22.89     0.17         22.82     0.22         22.78     0.33         9.48          0.24            0.43     199      15       10.0          0.29            0.23     1        72       10       25.73     0.1599999964237213  27.279999 0.3700000047683716  21.71     0.3700000047683716  3.133475547316228E-7  4.616538456394242E-8  1.853644436436545E-7  2.7309678011114006E-8 4.4465864188662705E-8 1.514951193539131E-8  7.5166895757696314E-6 2.5609347871796802E-6 2.208136327671365E-6  2.8465845965943175E-7 2.5352832844248794E-6 3.9686755330172123E-7 2.70412255731996E-6   5.477964635237808E-7  2.8056014301525754E-6 8.52530855193612E-7  
  Q1700-BX1012 17:00:47.578 64:15:11.701 255.198241667 +64.25325028 2.115 23.72 0.12     0.08      0.04        0.53      0.09        2.77      0.26        99.99     99.99        23.45     0.45         99.99     99.99        99.99     99.99        10.1          0.2             0.07     25       509      10.06         0.19            0.01     10       255      100      23.8      0.11999999731779099 24.33     0.11999999731779099 20.949999 0.25999999046325684 1.1803927233148251E-6 1.3043013225756815E-7 1.0965452402125921E-6 1.211652172047399E-7  6.730173797543908E-7  7.436655963660554E-8  1.5136543268318603E-5 3.623850004981134E-6  ""                    ""                    1.5136516677476755E-6 6.272037131144752E-7  ""                    ""                    ""                    ""                   
  Q1700-BX691  17:01:05.996 64:12:10.271 255.274983333 +64.20285306 2.19  25.33 0.16     0.22      0.1         0.66      0.19        4.64      0.17        21.89     0.1          21.65     0.1          21.44     0.12         22.02     0.27         11.04         0.03            0.29     40       2750     11.14         0.05            0.13     9        2750     1000     25.55     0.1599999964237213  26.21     0.1899999976158142  20.69     0.17000000178813934 2.6793304478734886E-7 3.9474480854302555E-8 2.187895394454677E-7  3.223418556981811E-8  1.1913150138480686E-7 2.0842527605047577E-8 1.923207018773228E-5  3.0105450886778164E-6 6.368343682179903E-6  5.864036627141454E-7  7.943765247575265E-6  7.314701073615646E-7  9.63886805431506E-6   1.0650682694883502E-6 5.649708826350327E-6  1.4046237971725488E-6
  Q1700-BX1118 17:01:08.914 64:16:12.554 255.287141667 +64.27015389 2.214 24.55 0.16     0.07      0.08        0.57      0.11        3.14      0.36        99.99     99.99        23.67     0.29         99.99     99.99        99.99     99.99        9.97          0.2             0.07     13       719      9.86          0.2             0.0      4        286      100      24.619999 0.1599999964237213  25.189999 0.1599999964237213  21.41     0.36000001430511475 5.495744754893009E-7  8.096861336358807E-8  5.152602930229292E-7  7.591311698062087E-8  3.0480830664105633E-7 4.490730015883017E-8  9.908919721961993E-6  3.284724900234393E-6  ""                    ""                    1.2360220499499027E-6 3.3006112722955804E-7 ""                    ""                    ""                    ""                   
  Q1700-BX1047 17:00:23.369 64:15:31.444 255.097370833 +64.25873444 2.231 24.55 0.16     0.43      0.11        1.04      0.16        4.01      0.16        99.99     99.99        22.02     0.1          99.99     99.99        22.61     0.31         10.71         0.12            0.26     50       1015     10.67         0.07            0.12     8        404      100      24.98     0.1599999964237213  26.02     0.1599999964237213  20.539999 0.1599999964237213  5.495744754893009E-7  8.096861336358807E-8  3.698506889373571E-7  5.4489971369510124E-8 1.4191426942889313E-7 2.0908179190697903E-8 2.208140206780757E-5  3.253245167476946E-6  ""                    ""                    5.649708826350327E-6  5.202310230697558E-7  ""                    ""                    3.2811493945720548E-6 9.366080295950337E-7 
  Q1700-BX1084 17:01:32.349 64:15:50.699 255.384787500 +64.26408306 2.245 23.76 0.12     0.45      0.07        1.05      0.11        3.89      0.1         99.99     99.99        22.14     0.46         99.99     99.99        99.99     99.99        11.09         0.11            0.26     120      1015     10.92         0.09            0.1      15       404      100      24.210001 0.11999999731779099 25.26     0.11999999731779099 19.87     0.11999999731779099 1.1376958066636293E-6 1.2571224102034765E-7 7.516676370964502E-7  8.305719561274798E-8  2.857762659943719E-7  3.157748724936735E-8  4.092850799751763E-5  4.522486970463446E-6  ""                    ""                    5.058555195183476E-6  2.1426661436429767E-6 ""                    ""                    ""                    ""                   
  Q1700-BX931  17:00:25.497 64:14:29.805 255.106237500 +64.24161250 2.246 25.15 0.16     0.47      0.12        1.12      0.28        3.6       0.28        99.99     99.99        22.83     0.11         99.99     99.99        99.99     99.99        10.19         0.27            0.27     38       404      10.24         0.27            0.2      15       255      100      25.619999 0.1599999964237213  26.74     0.2800000011920929  21.55     0.2800000011920929  3.162469906253387E-7  4.659255743007995E-8  2.0512881735392404E-7 3.022155620905159E-8  7.311834292643039E-8  1.885187486792299E-8  8.710168449533786E-6  2.245715631908646E-6  ""                    ""                    2.679330447873489E-6  2.7138706046876463E-7 ""                    ""                    ""                    ""                   
  Q1700-BX794  17:00:47.301 64:13:18.702 255.197087500 +64.22186167 2.253 23.6  0.12     0.35      0.06        0.58      0.09        3.1       0.18        99.99     99.99        23.67     0.25         99.99     99.99        99.99     99.99        9.49          0.36            0.29     430      7        9.45          0.41            0.28     265      7        10       23.95     0.11999999731779099 24.53     0.11999999731779099 20.5      0.18000000715255737 1.3183359536772996E-6 1.456724778132812E-7  9.550496367500869E-7  1.0553034424343247E-7 5.597910804406236E-7  6.185536662191358E-8  2.2910061178075856E-5 3.7972478599624136E-6 ""                    ""                    1.2360220499499027E-6 2.8453546269564977E-7 ""                    ""                    ""                    ""                   
  Q1700-BX1030 17:00:46.895 64:15:23.275 255.195395833 +64.25646528 2.285 25.11 0.16     0.47      0.12        1.17      0.28        4.02      0.22        99.99     99.99        22.32     0.18         99.99     99.99        99.99     99.99        10.65         0.17            0.27     39       1139     10.58         0.17            0.23     22       454      200      25.58     0.1599999964237213  26.75     0.2800000011920929  21.09     0.2199999988079071  3.281149394572055E-7  4.834105813970756E-8  2.1282678249023687E-7 3.1355694693655624E-8 7.244797465652014E-8  1.8679035902569386E-8 1.3305346465547406E-5 2.695374039188969E-6  ""                    ""                    4.285745432676935E-6  7.10344575079087E-7   ""                    ""                    ""                    ""                   
