# ID             RA            DEC          z      FLUX_U      FLUXERR_U   FLUX_G      FLUXERR_G   FLUX_R      FLUXERR_R   FLUX_J      FLUXERR_J   FLUX_Ks     FLUXERR_Ks  tau   Age  zHa    zabs   zLya   e_FHa   n_Name LHa F1500 L1500 WHa  n_WHa Mstar_SED     SFR_SED SFR_UV_CORR SFR_Ha_CORR ID__dup__2   zHa__dup__2 ID__dup__3   MAG_B_AB MAGERR_B_AB MAG_G_AB MAGERR_G_AB MAG_H_Vega MAGERR_H_Vega MAG_Ks_Vega MAGERR_Ks_Vega FLUX_B FLUXERR_B ID__dup__4  SFH    Age__dup__4 ehi_Age elo_Age A_V_MAG E_A_V_MAG Mstar            e_Mstar         Ref_Mstar             ehi_Mstar     elo_Mstar    MAG_V_AB ehi_MAG_V_AB elo_MAG_V_AB SFR   e_SFR Ref_SFR               ehi_SFR elo_SFR sSFR ehi_sSFR elo_sSFR ID__dup__5  MAG_F160W MAGERR_F160W FLUX_F160W            FLUXERR_F160W        
  HDF-BMZ1156    189.268083333 +62.24618889 2.2151 6.309573E-7 5.929663E-9 5.19996E-7  3.507761E-8 5.152286E-7 4.753681E-8 2.358479E-6 6.755571E-8 4.842412E-6 1.399883E-7 500   1900 2.2151 ""     ""     4.0E-18 l      2.0 24.61 28.78 67   ""    9.6E10        4       5           18          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        9.6E10           ""              Erb+2006              ""            ""           ""       ""           ""           4.0   ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  Q0201-B13      30.955208333  +11.60293889 2.1663 8.709636E-7 5.929663E-9 1.644372E-6 3.507761E-8 1.674943E-6 4.753681E-8 ""          ""          ""          ""          ""    ""   2.1663 ""     ""     1.0E-18 ""     0.8 23.36 29.26 0    ""    ""            ""      15          8           ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        ""               ""              ""                    ""            ""           ""       ""           ""           ""    ""    ""                    ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  Q1307-BM1163   197.075166667 +29.38870556 1.4105 4.74242E-6  5.929663E-9 6.546362E-6 3.507761E-8 7.870458E-6 4.753681E-8 ""          ""          ""          ""          ""    ""   1.4105 1.408  ""     1.2E-17 ""     3.5 22.21 29.38 0    ""    ""            ""      99          53          Q1307-BM1163 1.4105      Q1307-BM1163 99.99    99.99       21.83    0.01        99.99      99.99         99.99       99.99          ""     ""        ""          ""     ""          ""      ""      ""      ""        ""               ""              ""                    ""            ""           ""       ""           ""           ""    ""    ""                    ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  Q1623-BX151    246.373375000 +26.89583611 2.4393 2.051162E-7 5.929663E-9 4.613176E-7 3.507761E-8 5.248075E-7 4.753681E-8 ""          ""          ""          ""          ""    ""   2.4393 ""     ""     6.0E-18 l      1.6 24.74 28.8  0    ""    ""            ""      9           17          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        ""               ""              ""                    ""            ""           ""       ""           ""           ""    ""    ""                    ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  Q1623-BX214    246.390291667 +26.89820000 2.47   2.14783E-7  5.929663E-9 6.025596E-7 3.507761E-8 8.629785E-7 4.753681E-8 ""          ""          ""          ""          ""    ""   2.47   2.4674 ""     4.0E-18 ""     2.6 24.45 28.92 0    ""    ""            ""      40          39          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        ""               ""              ""                    ""            ""           ""       ""           ""           ""    ""    ""                    ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  Q1623-BX215    246.390833333 +26.89740556 2.1814 2.910717E-7 5.929663E-9 4.74242E-7  3.507761E-8 6.025596E-7 4.753681E-8 ""          ""          ""          ""          ""    ""   2.1814 2.1819 ""     3.0E-18 ""     1.7 24.71 28.73 0    ""    ""            ""      15          22          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        ""               ""              ""                    ""            ""           ""       ""           ""           ""    ""    ""                    ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  Q1623-BX252    246.404000000 +26.76523889 2.3367 1.940886E-7 5.929663E-9 3.221069E-7 3.507761E-8 3.435579E-7 4.753681E-8 ""          ""          ""          ""          ""    ""   2.3367 ""     ""     3.0E-18 ""     0.5 25.13 28.61 0    ""    ""            ""      4           5           ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        ""               ""              ""                    ""            ""           ""       ""           ""           ""    ""    ""                    ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  Q1623-BX274    246.409166667 +26.76587222 2.41   6.486344E-7 5.929663E-9 1.472313E-6 3.507761E-8 1.853532E-6 4.753681E-8 ""          ""          ""          ""          ""    ""   2.41   2.4081 2.413  3.0E-18 ""     4.3 23.48 29.29 0    ""    ""            ""      50          54          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        ""               ""              ""                    ""            ""           ""       ""           ""           ""    ""    ""                    ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  Q1623-BX344    246.433041667 +26.72832778 2.4224 1.367729E-7 5.929663E-9 4.325138E-7 3.507761E-8 6.194411E-7 4.753681E-8 ""          ""          ""          ""          ""    ""   2.4224 ""     ""     8.0E-18 ""     7.9 24.81 28.77 0    ""    ""            ""      30          123         ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        ""               ""              ""                    ""            ""           ""       ""           ""           ""    ""    ""                    ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  Q1623-BX366    246.437875000 +26.72970833 2.4204 2.805434E-7 5.929663E-9 7.24436E-7  3.507761E-8 1.056818E-6 4.753681E-8 ""          ""          ""          ""          ""    ""   2.4204 2.4169 ""     1.5E-17 ""     3.6 24.25 28.99 0    ""    ""            ""      55          58          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        ""               ""              ""                    ""            ""           ""       ""           ""           ""    ""    ""                    ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
