#            ID                RA              DEC         z          FLUX_U       FLUXERR_U          FLUX_G       FLUXERR_G          FLUX_R       FLUXERR_R          FLUX_J       FLUXERR_J         FLUX_Ks      FLUXERR_Ks   
    Q2343-BX163    356.5199166667    +12.760494444    2.1213    4.487454e-04    5.929663e-06    8.629785e-04    3.507761e-05    8.550667e-04    4.753681e-05    1.772687e-03    6.755571e-05    1.841034e-03    1.399883e-04   
    Q2343-BX169    356.5209583333    +12.761325000    2.2094    8.953648e-04    5.929663e-06    1.737801e-03    3.507761e-05    2.070141e-03    4.753681e-05    2.941928e-03    6.755571e-05    3.288984e-03    1.399883e-04   
    Q2343-BX182    356.5751666667    +12.764197222    2.2879    6.081350e-04    5.929663e-06    1.018591e-03    3.507761e-05    1.158777e-03    4.753681e-05    1.515766e-03    6.755571e-05    1.503356e-03    1.399883e-04   
    Q2343-BX236    356.5779583333    +12.771102778    2.4348    3.221069e-04    5.929663e-06    6.194411e-04    3.507761e-05    7.046931e-04    4.753681e-05    1.118490e-03    6.755571e-05    2.075209e-03    1.399883e-04   
    Q2343-BX336    356.6230416667    +12.784655556    2.5439    2.376840e-04    5.929663e-06    6.854882e-04    3.507761e-05    9.908319e-04    4.753681e-05    1.474457e-03    6.755571e-05    3.140955e-03    1.399883e-04   
    Q2343-BX341    356.5968333333    +12.785547222    2.5749    2.333458e-04    5.929663e-06    5.296634e-04    3.507761e-05    7.516229e-04    4.753681e-05    6.318763e-04    6.755571e-05    1.807431e-03    1.399883e-04   
    Q2343-BX378    356.6412500000    +12.790611111    2.0441    2.070141e-04    5.929663e-06    3.435579e-04    3.507761e-05    4.365158e-04    4.753681e-05    8.102743e-04    6.755571e-05    1.140412e-03    1.399883e-04   
    Q2343-BX389    356.6204166667    +12.792652778    2.1716    1.009253e-04    5.929663e-06    3.221069e-04    3.507761e-05    4.168694e-04    4.753681e-05    1.048654e-03    6.755571e-05    5.559833e-03    1.399883e-04   
    Q2343-BX390    356.6030000000    +12.792722222    2.2313    2.535129e-04    5.929663e-06    5.248075e-04    3.507761e-05    6.546362e-04    4.753681e-05    9.563835e-04    6.755571e-05    2.000146e-03    1.399883e-04   
    Q2343-BX391    356.6169583333    +12.792172222    2.1740    1.786488e-04    5.929663e-06    4.528976e-04    3.507761e-05    5.701643e-04    4.753681e-05    7.527176e-04    6.755571e-05    1.109333e-03    1.399883e-04   
    Q2343-BX418    356.5773750000    +12.796494444    2.3052    6.854882e-04    5.929663e-06    9.638290e-04    3.507761e-05    9.204496e-04    4.753681e-05    5.402964e-04    6.755571e-05    1.161614e-03    1.399883e-04   
    Q2343-BX429    356.6052083333    +12.797555556    2.1751    1.127197e-04    5.929663e-06    2.466039e-04    3.507761e-05    3.250873e-04    4.753681e-05    4.452788e-04    6.755571e-05    1.161614e-03    1.399883e-04   
    Q2343-BX435    356.6098333333    +12.798627778    2.1119    2.013724e-04    5.929663e-06    5.199960e-04    3.507761e-05    7.379042e-04    4.753681e-05    2.170861e-03    6.755571e-05    4.624468e-03    1.399883e-04   
    Q2343-BX436    356.5377500000    +12.798888889    2.3277    1.247384e-03    5.929663e-06    1.923092e-03    3.507761e-05    2.147830e-03    4.753681e-05    3.024350e-03    6.755571e-05    2.518035e-03    1.399883e-04   
    Q2343-BX442    356.5806666667    +12.799913889    2.1760    1.419058e-04    5.929663e-06    4.055085e-04    3.507761e-05    5.861382e-04    4.753681e-05    2.016657e-03    6.755571e-05    7.534627e-03    1.399883e-04   
